,cod_domicilio,num_pessoa,motivo_orig,motivo_dest,modo_agregado,zona_orig,zona_dest,faixa_renda,tempo_viagem,hora_chegada,hora_saida,fator_expansao
0,2,1,casa,trabalho,Coletivo,0465,0485,< 2,125.0,2012-08-15 11:05:00,2012-08-15 09:00:00,999.16
1,2,1,trabalho,casa,Coletivo,0485,0465,< 2,125.0,2012-08-15 21:45:00,2012-08-15 19:40:00,999.16
2,2,2,casa,trabalho,Coletivo,0465,0117,< 2,80.0,2012-08-15 06:10:00,2012-08-15 04:50:00,496.36
3,2,2,trabalho,casa,Coletivo,0117,0458,< 2,90.0,2012-08-15 16:30:00,2012-08-15 15:00:00,496.36
4,3,1,casa,lazer,Coletivo,0458,0485,< 2,60.0,2012-08-15 06:30:00,2012-08-15 05:30:00,933.88
5,3,1,lazer,casa,Coletivo,0485,0465,< 2,75.0,2012-08-15 18:45:00,2012-08-15 17:30:00,933.88
6,22,2,casa,estudo,Individual,0394,0399,2 - 5,15.0,2012-08-15 12:15:00,2012-08-15 12:00:00,2516.5
7,22,2,estudo,casa,Individual,0399,0394,2 - 5,15.0,2012-08-15 12:25:00,2012-08-15 12:10:00,2516.5
8,22,4,casa,estudo,Individual,0394,0399,2 - 5,15.0,2012-08-15 12:15:00,2012-08-15 12:00:00,2559.1
9,22,4,estudo,casa,Individual,0399,0394,2 - 5,15.0,2012-08-15 17:15:00,2012-08-15 17:00:00,2559.1
10,216,1,casa,trabalho,A pé,0196,0196,< 2,10.0,2012-08-15 05:10:00,2012-08-15 05:00:00,645.11
11,216,1,casa,trabalho,Coletivo,0196,0718,< 2,10.0,2012-08-15 05:30:00,2012-08-15 05:20:00,645.11
12,216,1,trabalho,casa,Coletivo,0718,0196,< 2,12.0,2012-08-15 14:42:00,2012-08-15 14:30:00,1007.84
13,216,3,casa,outros,A pé,0196,0164,< 2,40.0,2012-08-15 13:40:00,2012-08-15 13:00:00,476.01
14,216,3,outros,casa,A pé,0164,0196,< 2,40.0,2012-08-15 16:40:00,2012-08-15 16:00:00,476.01
15,216,4,casa,estudo,A pé,0196,0196,< 2,7.0,2012-08-15 12:07:00,2012-08-15 12:00:00,590.96
16,216,4,casa,estudo,Coletivo,0195,0156,< 2,12.0,2012-08-15 12:19:00,2012-08-15 12:07:00,590.96
17,216,4,estudo,casa,A pé,0195,0196,< 2,10.0,2012-08-15 18:10:00,2012-08-15 18:00:00,590.96
18,216,4,estudo,casa,Coletivo,0156,0196,< 2,25.0,2012-08-15 17:55:00,2012-08-15 17:30:00,590.96
19,219,1,casa,saude,Coletivo,0196,0279,< 2,5.0,2012-08-15 12:45:00,2012-08-15 12:40:00,149.44
20,219,1,saude,casa,Coletivo,0279,0196,< 2,60.0,2012-08-15 15:30:00,2012-08-15 14:30:00,149.44
21,219,2,casa,outros,A pé,0196,0196,< 2,15.0,2012-08-15 12:30:00,2012-08-15 12:15:00,246.2
22,219,2,outros,casa,A pé,0196,0196,< 2,15.0,2012-08-15 13:45:00,2012-08-15 13:30:00,246.2
23,236,1,trabalho,trabalho,Individual,0058,0999,< 2,150.0,2012-08-15 07:30:00,2012-08-15 05:00:00,645.11
24,236,2,outros,casa,A pé,0195,0195,< 2,40.0,2012-08-15 09:10:00,2012-08-15 08:30:00,645.11
25,236,2,outros,outros,A pé,0013,0195,< 2,5.0,2012-08-15 06:45:00,2012-08-15 06:40:00,645.11
