ID,DIR,LENGTH,ID1,DIR1,LENGTH1,OSMID,REDEMODOSI,NAME,TYPE,CONDITION,HAZMAT,NUMLANES,WIDTH,ID_ZONA,ZONA_VIA,geometry,route_id,route_type,origin_coords,destination_coords,waypoints_generated,api_status,total_distance_km,total_duration_min,total_duration_hours,number_of_legs,overview_polyline,api_error,leg_1_distance_km,leg_1_duration_min,leg_1_start_addr,leg_1_end_addr,leg_2_distance_km,leg_2_duration_min,leg_2_start_addr,leg_2_end_addr,leg_3_distance_km,leg_3_duration_min,leg_3_start_addr,leg_3_end_addr,leg_4_distance_km,leg_4_duration_min,leg_4_start_addr,leg_4_end_addr,variação
3,0,0.699178,396339,-1,0.73,172084085,0,Rodovia Governador MÃ¡rio Cova,motorway,,,2,5.0,523,523_Rodovia Governador MÃ¡rio Cova,"LINESTRING (-42.90257 -22.76387, -42.902749 -22.764104, -42.902916 -22.764252, -42.903097 -22.764394, -42.904641 -22.76549, -42.904797 -22.765599, -42.905066 -22.765795, -42.905214 -22.765902, -42.905569 -22.76615, -42.90578 -22.766309, -42.905993 -22.766489, -42.906037 -22.766526, -42.906202 -22.766629, -42.906286 -22.766682, -42.906394 -22.766744, -42.906737 -22.766874, -42.906918 -22.766932, -42.907312 -22.767019, -42.907662 -22.767057, -42.908212 -22.767074)",route_2,LineString,"-22.763870,-42.902570","-22.767074,-42.908212",3,SUCCESS,23.42,28.95,0.48,4,fa}iC~kzdG_BiCaCuD}C}EsGaKqCgEYYRMxEsDjA}@b@c@jBbBx@x@j@p@Rj@|@lDTn@d@fAzAlCn@nCVtBl@pDx@nD`B~FRfAXv@Rt@h@hAx@xAjAtBZl@FT?X]e@mBwC}C}EuBaDw@_Ac@YeBqCaCuDo@_A{IkNmC_Ei@{@YYRMxEsDjA}@b@c@hAbAzAxAv@bAt@~Cd@vAd@fAx@vA`@t@n@nCVtBl@pDx@nD`B~F^dBLXFZt@bBrBpDl@jAFT?Xo@}@wBgDqDwFyAyBc@e@c@YeBqCaCuD}C}EsGaKqCgEYY}CqEeDeF{DgGsFmIeDoFQo@Ea@?_@D]_@m@UII?OVQt@Gf@@h@X|@T`@~BtBlB|A^b@hAlBxKtPtHlLdGjJhIlMfB`DfBpCtCpEh@x@dBxBdCxD^n@^z@`@nAP`ALxBPrIDbE\xRLhCZ`BjElKbHhPfApCx@fCp@`Cr@dDjAnGPjALt@EP@ZCr@ADCX[fCc@vDq@`IE`@FNFNHHNHrABPEPMPWLc@FmBDICc@A_BMqGKaDQuB_@yBIWSe@a@mCe@yBKe@_@aBi@gBu@{Bq@gBeAmCkDcIsCwGsB_F_@wAQ_BE{BGyFHWAcG[qRGeBWqAk@cB[o@a@g@uAuBiH}KgAuAc@YeBqCaCuDo@_A{IkNmC_Ei@{@YY}CqEeDeF{DgGsFmIuBkDo@cAQo@Ea@?_@D]QYMSIEKCI?OVQt@Gf@@h@HZN`@T`@~BtBlB|A^b@hAlBvG`KbFzHxMpShIlMfB`D`D`FzA`Ch@x@dBxBdCxD^n@^z@`@nAP`AJxABdBNlGDbE\xRLhCZ`B~@|B~EpLnEfKd@nA`@`Ax@fChAdEdAvFr@dELt@EP@ZEx@CX[fCc@vDq@`IE`@FNFNHHNHrABPEPMPWHWJeB?SDICc@A_BIsDG{CGcBIaAGs@_@yB]}@a@mCe@yBKe@_@aBi@gBu@{Bq@gBeAmCkDcIsCwGsB_F_@wAQ_BMuJHW?cBA_DK{EKkH,,2.65,5.1,"BR-101, 320 - Três Pontes, Itaboraí - RJ, 24800, Brasil","BR-101, 320 - Três Pontes, Itaboraí - RJ, 24800, Brasil",2.29,4.6,"BR-101, 320 - Três Pontes, Itaboraí - RJ, 24800, Brasil","Rod. Governador Mário Covas, 465 - Três Pontes, Itaboraí - RJ, 24800, Brasil",9.15,9.4,"Rod. Governador Mário Covas, 465 - Três Pontes, Itaboraí - RJ, 24800, Brasil","Rod. Governador Mário Covas, 398 - Retiro São Joaquim, Itaboraí - RJ, 24800, Brasil",9.32,9.85,"Rod. Governador Mário Covas, 398 - Retiro São Joaquim, Itaboraí - RJ, 24800, Brasil","Rod. Governador Mário Covas, 814 - Vila Gabriela, Itaboraí - RJ, 24800, Brasil",0.02985388556789069
1502,0,0.725004,396339,-1,0.73,172084085,0,Rodovia Governador MÃ¡rio Cova,motorway,,,2,5.0,523,523_Rodovia Governador MÃ¡rio Cova,"LINESTRING (-42.807803 -22.742943, -42.807708 -22.742779, -42.807577 -22.74249, -42.807453 -22.742217, -42.807351 -22.741933, -42.807247 -22.741567, -42.807155 -22.741186, -42.807108 -22.740917, -42.807081 -22.74066, -42.807061 -22.740421, -42.807051 -22.740157, -42.807055 -22.73988, -42.807081 -22.739218, -42.807121 -22.738515, -42.807128 -22.738296, -42.807121 -22.738148, -42.807114 -22.738005, -42.807093 -22.737807, -42.807061 -22.73765, -42.807023 -22.737492, -42.806972 -22.737327, -42.806878 -22.737067, -42.80681 -22.736907, -42.806736 -22.736766, -42.806634 -22.736591)",route_5,LineString,"-22.742943,-42.807803","-22.736591,-42.806634",3,SUCCESS,47.15,40.1,0.67,4,j~xiCx{gdGdDdBxAfA|B~BlBpCxClFvIjNxKtQjG|J~@bBD`@Ln@Vv@f@jAh@mDBs@OqAU_AKVg@f@g@FUMgA}AGAuAqBcCyDcIuMwMgTsCaFiBeCaCwBqD{BgDoAkDy@kBU{BKgDBsHD{@GoAWuBw@mBuAwAyAw@_BOg@Gw@NgCv@mD~C{Lp@cHt@sJbAgK`@oShBqm@`As`@\yZTeHFkBQSKGQGa@RDhMAnJWrQ[vMsApf@sApe@M|DQzBm@~Gy@dJeApEiAbFu@`Da@vCKrAKvBPjBNj@l@fA`BbBjAdA`Ad@xAd@hB\jAFnBA~HKjBF|C^rCr@lAb@|CxAzAdAdD~C`B|BzB`EfWbb@nCjEnErH`@nB^dAP^Fc@F]RuAJy@Gw@UiAI_@ELKPWXk@LUEkAcBOCoEgHoT_^oEyHqB{CsCuCeAy@uAy@aDuAeD_AoB]uBOsDCyHJcCQmCw@eCeBiAgAs@cA_@cAM_AHuB`@}BxD_Ol@gGtAaQd@eEJmCP}K~@{[`@aMp@eXLcE^iVJoJRyHLsDWWSKODULAhABhEFdKUtS_Av^wAfe@k@xT[lJkAbNa@jEi@vCaD`Nw@rH?nAFl@h@jBjBxB^\~AlAdBn@hB^pCJ|JM~CNhBVrCr@hEfBxBxAdCxB~ApB~KfRhXlc@~@bBD`@Ln@f@vAVj@Fe@T{ANaAAm@c@aCYh@YT[FUAmAcBMGuAqBy@sAaEqGyJePiHkLsCaFiBeCkAeAkCuBeD_BkDeAiEq@iEKcILeCK_Ci@{BkA}AsAq@u@w@_BWeABeB\aCvCaLl@aCXgC`AcMdAyKNmCNmJ|A}i@`Ae^b@_WJwJTkJDkAFkBQSKGKEM@YN@jGFpJKfK_@xSgAx`@aB~k@YlJs@nIw@hJ]bC_CxJu@`Da@vCKrAKvBBr@\bBl@fA~@bAlBdBxAp@`Bd@~BXzIMlDB`AF~Dl@bCr@bBr@|ChB|AnAzB`CvBjDjGnK~G|KvLvRnErHHr@h@fBLXP^Fc@F]Hm@PmA@e@[oBI_@ELKPk@b@c@BkA_BOMI?eBoC_CwDiLiRoFuIoEyHqB{C}@eA{CiCqDoBiDiAqDs@uBOwAE{GJiEE_Cc@oB{@mB{As@s@s@cAi@iBCoAV}BnBcI|A{FXyB~@{L\eEx@sI`@aT`Ag\x@{ZPoF`@gTL}MNoGToHe@a@M?GBULAhABhEDnGGpL]jR[~LkA|b@yA~g@YlEq@dIu@vHmAlFuBfJc@bDSnC?nAT`BZv@dApAdAdAtAfA,,11.95,10.15,"Rod. Governador Mário Covas, 21750 - Tres Pontes, Itaboraí - RJ, 24809-234, Brasil","Rod. Governador Mário Covas, 21750 - Tres Pontes, Itaboraí - RJ, 24809-234, Brasil",11.56,9.85,"Rod. Governador Mário Covas, 21750 - Tres Pontes, Itaboraí - RJ, 24809-234, Brasil","BR-101, 283 - Itaville, Itaboraí - RJ, 24800, Brasil",11.69,9.95,"BR-101, 283 - Itaville, Itaboraí - RJ, 24800, Brasil","Rod. Gov. Mário Covas, 8537 - Itaville, Itaboraí - RJ, 24800, Brasil",11.95,10.15,"Rod. Gov. Mário Covas, 8537 - Itaville, Itaboraí - RJ, 24800, Brasil","Rod. Governador Mário Covas, 8537 - Itaiville, Itaboraí - RJ, 24800-971, Brasil",0.015376542948038176
6,0,0.06413,429666,1,0.06,742856221,0,,trunk_link,,,1,5.0,699,699_742856221,"LINESTRING (-42.948511 -22.793418, -42.948718 -22.793396, -42.948962 -22.793394, -42.949065 -22.793414, -42.94913 -22.793429)",route_8,LineString,"-22.793418,-42.948511","-22.793429,-42.949130",3,SUCCESS,0.67,1.95,0.03,4,pybjChkceG^rAZhA^x@d@jAn@hBQBo@aASe@u@}@[k@IYKa@C{@Ag@Ec@e@gBNG^rAJhABj@Bb@,,0.02,0.02,"Av. Pres. Roosevelt, 160 - Bom Retiro, São Gonçalo - RJ, 24722-322, Brasil","Av. Pres. Roosevelt, 160 - Bom Retiro, São Gonçalo - RJ, 24722-322, Brasil",0.63,1.9,"Av. Pres. Roosevelt, 160 - Bom Retiro, São Gonçalo - RJ, 24722-322, Brasil","R. Pres. Franklin Roosevelt, 86 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil",0.01,0.02,"R. Pres. Franklin Roosevelt, 86 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil","R. Frei Agostinho, 74 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil",0.01,0.02,"R. Frei Agostinho, 74 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil","R. Frei Agostinho, 74 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil",0.09571641791044777
7,0,0.150227,37435,-1,0.01,1074922214,0,Rua Lopes TrovÃ£o,tertiary,,,2,3.0,643,643_Rua Lopes TrovÃ£o,"LINESTRING (-43.111365 -22.906223, -43.112376 -22.907092, -43.112436 -22.907148)",route_9,LineString,"-22.906223,-43.111365","-22.907148,-43.112436",1,SUCCESS,0.99,5.57,0.09,2,`{xjCdecfGlCwC`@a@bBjBvA`BuAzAyAxAKKiDeEhDqDzDlEoDtDGF,,0.43,2.47,"R. Ator Paulo Gustavo, 160 - Sala 1003 - Icaraí, Niterói - RJ, 24230-062, Brasil","R. Lopes Trovão, 7 - Icaraí, Niterói - RJ, 24220-071, Brasil",0.56,3.1,"R. Lopes Trovão, 7 - Icaraí, Niterói - RJ, 24220-071, Brasil","Condomínio do Edificio Vent Vert - Comercial - R. Lopes Trovão, 1 - Icaraí, Niterói - RJ, 24220-071, Brasil",,,,,,,,,0.15174444444444443
8,0,0.067886,429562,1,0.07,742856220,0,,trunk_link,,,1,5.0,699,699_742856220,"LINESTRING (-42.949514 -22.793571, -42.94965 -22.793692, -42.949791 -22.793831, -42.949958 -22.794024)",route_10,LineString,"-22.793571,-42.949514","-22.794024,-42.949958",2,SUCCESS,0.67,1.93,0.03,3,xzbjCtqceGRXRTz@|@d@rAQBo@aAIWSYY[c@k@Oc@Om@EcBUoAU{@NGlAfEZhA^x@b@fA,,0.02,0.03,"Rodovia Governador Mario Covas Próximo Ao 1603-1619 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil","R. Pres. Franklin Roosevelt, 38 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil",0.02,0.03,"R. Pres. Franklin Roosevelt, 38 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil","R. Pres. Franklin Roosevelt, 38 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil",0.64,1.87,"R. Pres. Franklin Roosevelt, 38 - Bom Retiro, São Gonçalo - RJ, 24722-000, Brasil","Av. Pres. Roosevelt, 1888 - Marambaia, São Gonçalo - RJ, 24722-000, Brasil",,,,,0.1013223880597015
11,0,0.788664,37415,1,0.22,1074949369,0,Rua Mariz e Barros,secondary,,,2,3.0,642,642_Rua Mariz e Barros,"LINESTRING (-43.10417 -22.905723, -43.104215 -22.905764, -43.105184 -22.906649, -43.105193 -22.906657, -43.10565 -22.907066, -43.106067 -22.907466, -43.106072 -22.907471, -43.107734 -22.909005, -43.108113 -22.909357, -43.109617 -22.910748)",route_13,LineString,"-22.905723,-43.104170","-22.910748,-43.109617",3,SUCCESS,3.4,13.33,0.22,4,vwxjC|wafG_DfDiCpCxDpEnAuAfAiArC_DqD_EIKIJy@|@wAxA_CfCMLxDpEzA`BhApA~EqFhAmAi@o@k@o@mAsA`BiB~@aA\_@|@|@^`@fAnA~@aAnAJhB[R@^PNZxBjD~AhCHRNz@pAdK@d@CP[VSNaAd@w@^QHoGoHjCqCJKrGvHFL?NCVSN}At@g@T,,0.75,3.08,"Av. Roberto Silveira, 38 - Icaraí, Niterói - RJ, 24240-700, Brasil","Av. Roberto Silveira, 376 - Icaraí, Niterói - RJ, 24230-161, Brasil",0.82,3.02,"Av. Roberto Silveira, 376 - Icaraí, Niterói - RJ, 24230-161, Brasil","Rua Mariz e Barros, 222 - Icaraí, Niterói - RJ, 24220-121, Brasil",1.36,5.05,"Rua Mariz e Barros, 222 - Icaraí, Niterói - RJ, 24220-121, Brasil","R. Ator Paulo Gustavo, 90 - Icaraí, Niterói - RJ, 24230-062, Brasil",0.47,2.18,"R. Ator Paulo Gustavo, 90 - Icaraí, Niterói - RJ, 24230-062, Brasil","Av. Jorn. Alberto Francisco Torres, 485 - Icaraí, Niterói - RJ, 24230-009, Brasil",0.23196000000000003
12,0,0.07707,17208,-1,0.06,955489223,0,Rua Professora Romanda GonÃ§al,tertiary,,,2,6.0,604,604_Rua Professora Romanda GonÃ§al,"LINESTRING (-43.030692 -22.947892, -43.030735 -22.947921, -43.03077 -22.947946, -43.030809 -22.947972, -43.030903 -22.948037, -43.031296 -22.948306)",route_14,LineString,"-22.947892,-43.030692","-22.948306,-43.031296",3,SUCCESS,2.28,6.62,0.11,4,f_akCvlseGuCdC]`@KJi@\QEI?QJa@j@CNBLv@bAFHF@J@XKVWN]?QGOOQECFSL_@h@k@nC_CGMEKuCdCg@h@OL[RGEIASDc@h@IR?JHPh@j@NVLBRCVSV]BYCKMSKINi@TYhD{CMYuCdC]`@KJi@\QEI?QJSTMTCNBLRVb@j@FHF@J@HANIVWJQLC\Sp@c@rAcAfAaAq@iA_@q@uCdC]`@KJi@\QEI?QJa@j@CNBLv@bAFHF@J@XKVWJQLC\SLI|@m@`CqB,,0.57,1.47,"Av. Profa. Romanda Gonçalves, 2657 - Itaipu, Niterói - RJ, 24340-090, Brasil","Av. Profa. Romanda Gonçalves, 2657 - Itaipu, Niterói - RJ, 24340-090, Brasil",0.57,1.47,"Av. Profa. Romanda Gonçalves, 2657 - Itaipu, Niterói - RJ, 24340-090, Brasil","RJ - Itaipu, Niterói - RJ, 24350-310, Brasil",0.58,1.75,"RJ - Itaipu, Niterói - RJ, 24350-310, Brasil","Estr. Francisco da Cruz Nunes, 2562 - Itaipu, Niterói - RJ, 24320-330, Brasil",0.56,1.93,"Estr. Francisco da Cruz Nunes, 2562 - Itaipu, Niterói - RJ, 24320-330, Brasil","Av. Profa. Romanda Gonçalves, 1422 - Itaipu, Niterói - RJ, 24340-090, Brasil",0.03380263157894737
13,0,0.12514,18983,1,0.07,29424361,0,TÃºnel Roberto Silveira,primary,,,3,5.0,619,619_TÃºnel Roberto Silveira,"LINESTRING (-43.100369 -22.911869, -43.100104 -22.912337, -43.099803 -22.91287)",route_16,LineString,"-22.911869,-43.100369","-22.912870,-43.099803",1,SUCCESS,1.2,3.93,0.07,2,d~yjCh`afG@`AGXAd@@ZHBNF\XDKF[NkBHoACSBRInAEd@IdAGZEJ]YOGICBfAEp@CZM`AIPEDC?IE[m@KBM^G@AC@W@]A{@EECAEDKZg@|@Aj@IFGCGc@SqCM_@OUl@W|FsC~Aw@dAk@,,0.25,0.95,"Alameda Paris, 162 - São Francisco, Niterói - RJ, 24360-018, Brasil","Alameda Jandira Fróes, 87 - São Francisco, Niterói - RJ, 24360-017, Brasil",0.95,2.98,"Alameda Jandira Fróes, 87 - São Francisco, Niterói - RJ, 24360-017, Brasil","Túnel Roberto Silveira, 649 - São Francisco, Niterói - RJ, 24220-000, Brasil",,,,,,,,,0.10428333333333334
17,0,0.51943,430948,1,0.1,838220298,0,Estrada do Cordeiro,tertiary,,,2,6.0,693,693_Estrada do Cordeiro,"LINESTRING (-42.941425 -22.862268, -42.942057 -22.861864, -42.942132 -22.861808, -42.942197 -22.861751, -42.94224 -22.861696, -42.94228 -22.86163, -42.942352 -22.861487, -42.942651 -22.860838, -42.942703 -22.860737, -42.942832 -22.86049, -42.942871 -22.860417, -42.943023 -22.859925, -42.943166 -22.859438, -42.943385 -22.858774, -42.94344 -22.858596, -42.943506 -22.858367, -42.94361 -22.858193)",route_20,LineString,"-22.862268,-42.941425","-22.858193,-42.943610",3,SUCCESS,0.71,2.2,0.04,4,dhpjCz~aeGD@OVk@dAc@p@a@Z_@PsCdAAE@DuBj@q@PwCj@uAVOIQOMUAGGNS`@Ib@vA]YQOSGQ[p@Ib@OP,,0.08,0.28,"Estrada do Cordeiro Próximo Ao 508-578 - Santa Izabel, São Gonçalo - RJ, 24735-550, Brasil","Estr. do Cordeiro, 79 - Santa Izabel, São Gonçalo - RJ, 24738-600, Brasil",0.15,0.35,"Estr. do Cordeiro, 79 - Santa Izabel, São Gonçalo - RJ, 24738-600, Brasil","Estr. do Cordeiro, 345 - Santa Izabel, São Gonçalo - RJ, 24738-600, Brasil",0.34,1.13,"Estr. do Cordeiro, 345 - Santa Izabel, São Gonçalo - RJ, 24738-600, Brasil","Estr. do Cordeiro, 29 - Santa Izabel, São Gonçalo - RJ, 24738-600, Brasil",0.14,0.43,"Estr. do Cordeiro, 29 - Santa Izabel, São Gonçalo - RJ, 24738-600, Brasil","Estr. de Itaitindiba, 20 - Santa Izabel, São Gonçalo - RJ, 24738-795, Brasil",0.7315915492957746
18,0,0.101879,399599,-1,0.1,980647762,0,,motorway_link,,,1,0.0,640,640_980647762,"LINESTRING (-43.107177 -22.880576, -43.106924 -22.880553, -43.106723 -22.880547, -43.106186 -22.880525)",route_21,LineString,"-22.880576,-43.107177","-22.880525,-43.106186",2,SUCCESS,60.09,63.55,1.06,3,rzsjCzjbfGd@jJBtB[bCeAtE_AvC}BnFmBbDiArAkBrBgAdBaAdC_AbCi@`AmFhJqAzCsAdEa@~Au@vDu@pHoAhZcAlV_ArSqAx]cChl@oBde@wB|h@eCdm@mIvrBs@hPgAxY]hJ?~AJnGv@jHbAhFrBpGv@hBvB`E~AdCtBhCnDnDzFhF~IdI\ZlV|TzRpQjLrK~EbEHTt@j@~BjApCl@vCTlB?pBQ`B_@hBo@j@]xFyBhGyBfBo@bCmA~@g@tDqAdC_Az@i@lAyA`BwCCi@QUc@EcAb@uDxAyNjFmCdAq@Gs@Hk@NyLtEuD~AyB`AuAh@q@JiAD}@IkAUs@WuAe@{AuAcKeJqW_ViWsUiIoHaJkIiDwD_DoE}BsE{ByGmAoFq@aGUeECcEBwDd@kLjAgXfC}n@pBof@rAs\`AeTlBkf@pB}e@bAsWvCys@zAq]J_EtAkZp@_PjAmYVgD`@_Dn@gDb@iB~@aDpAyC`EoHxC_FxEsHxAyBL_@Zc@r@i@bA[z@I~ASpAUl@W`@[b@q@Pi@Jw@?{@Gg@kAwFk@sH_@mHIsCDuAtKaA^GOwAWcC{AsNc@aEiDI_AA_@LEdCC~DEpBOzJ?vEZ~FV`FAx@O|AeAxEs@dCu@pB_BpDoAxBw@dAeBtBu@t@gAdBaChGwGjLeCnGk@tBkArFu@pHW`F{@nTsBvf@eAfX_Clj@eAdXoDnz@mBbf@aJnyBwAv\oAd\CnCFtGXjDr@fFp@bDx@rCpBfFvB`E~AdCtBhCnDnDnHxGfInHtUfTbQ~OpGxFjFbF~EbEHTTRxA|@dAd@|A^zAVjAHvAB~BKhBYlC}@|BiAlIyCbC}@fA_@fB}@bAe@fDqA`E_B|@s@t@aA|@_Bb@w@?]K[m@KwElBkFnBoKzDm@TSCm@CaATeLfEqEjB_Bv@aBp@e@JkAL{@CiAOkDiAcEwD_PuNk_@c]sQiPgLqKeDcEsCwEiA}B{ByGmAoFq@aGUeEE{CD_FnDk|@tCor@dBab@n@gN|Awa@|EklAdA{VrCmq@f@qLDiCn@_NZ_G|@{TzAi]l@qFfAkFnAoE|BgFtEuH`FiIfDgFh@cAr@i@bA[lAMvBYtAc@x@y@\}@Jw@?{@y@aEY}A[wDWaEc@}IFsBtKaA^GOwAWcC]kDaBiOiDI_AA_@LEdCApBGdDQ~NG~Bf@jJJl@HAPKOkDQ}CGeCtKaA^GOwAWcC]kDaBiOiDI_AA_@LEdCApBGdDQ`N,,29.13,29.5,"Alameda São Boaventura, 99 - Santana, Niterói - RJ, 24130-005, Brasil","Alameda São Boaventura, 44 - Santana, Niterói - RJ, 24120-196, Brasil",29.13,29.5,"Alameda São Boaventura, 44 - Santana, Niterói - RJ, 24120-196, Brasil","Alameda São Boaventura, 128 - Fonseca, Niterói - RJ, 24120-196, Brasil",1.83,4.55,"Alameda São Boaventura, 128 - Fonseca, Niterói - RJ, 24120-196, Brasil","Alameda São Boaventura, 133 - Santana, Niterói - RJ, 24130-005, Brasil",,,,,0.0016954401730737226
20,0,0.054812,4859,-1,0.0,1053151262,0,Avenida Feliciano SodrÃ©,secondary,,,4,2.5,639,639_Avenida Feliciano SodrÃ©,"LINESTRING (-43.116095 -22.882899, -43.116064 -22.882889, -43.115597 -22.88272)",route_23,LineString,"-22.882899,-43.116095","-22.882720,-43.115597",1,SUCCESS,7.67,15.12,0.25,2,`itjCrbdfGdCrK~AnHvBrJt@jDq@D_Gb@dB`DzGg@wBcJwAwG{@uD}BgKc@sB{@}DaBsHGWcA_EEGU[]g@[a@GAU_@aBgBwAgAa@Uw@c@iAg@S?mA_@oASoAMUAEEIGcAQ]GOMIKEWAQBSN[VOVCNBVNLNR\LfFFvDN\LTRNRHb@FdA?h@Cp@Al@Dd@Jp@TdAj@z@t@^^tCvCn@t@d@v@Z~@\rAp@hC`AdEzBxJpBhJdB~HqHh@dB`DzGg@wBcJYkAsBqJYgAoBgJi@aCoAyFiAiFcA_EEGU[s@cAMGU_@o@w@q@o@wAgAyAy@iAg@S?mA_@oASoAMUAEEIG_@Iw@KQIMMGOC_@BSN[VOVCNBVNV`@HJHzCD`CD`CN\LTRNRHb@FdA?h@Cp@Al@Dd@Jp@TdAj@z@t@|C~CVVn@t@d@v@Z~@n@~B,,3.86,7.6,"Av. Felíciano Sodré, 315 - Ponta Dareia, Niterói - RJ, 24030-012, Brasil","Av. Felíciano Sodré, 315 - Ponta Dareia, Niterói - RJ, 24030-012, Brasil",3.81,7.52,"Av. Felíciano Sodré, 315 - Ponta Dareia, Niterói - RJ, 24030-012, Brasil","Av. Felíciano Sodré, 101 - Centro, Niterói - RJ, 24030-013, Brasil",,,,,,,,,0.007146284224250326
23,0,0.477452,19063,-1,0.01,119870369,0,Avenida Engenheiro Martins Rom,secondary,,,1,3.0,635,635_Avenida Engenheiro Martins Rom,"LINESTRING (-43.122278 -22.904979, -43.122338 -22.904957, -43.122792 -22.904921, -43.123026 -22.904923, -43.123221 -22.904925, -43.123364 -22.904934, -43.123486 -22.904951, -43.123692 -22.904987, -43.124062 -22.90506, -43.124217 -22.905099, -43.124362 -22.905144, -43.124681 -22.90527, -43.124836 -22.905341, -43.124931 -22.905398, -43.125026 -22.905461, -43.125137 -22.90555, -43.125314 -22.905703, -43.125625 -22.906008, -43.125804 -22.906183, -43.12588 -22.906269, -43.125934 -22.906351, -43.125975 -22.90644, -43.125991 -22.906536, -43.125997 -22.906633, -43.125993 -22.906769)",route_28,LineString,"-22.904979,-43.122278","-22.906769,-43.125993",3,SUCCESS,3.99,13.57,0.23,4,~rxjC`iefGIJSFSAkCU_BQsE_@eDY_@@EpEpEZnJp@vBL?K@iDBWAQHi@RkAJk@L_@v@wAJ]@QASa@oAOm@AaAA[ISe@w@sAeBm@m@WWU_@Se@Ks@OiDF}@FY\u@xA_Da@g@wDbE\b@d@fALh@FtAJfBNn@`@p@p@n@zAjBl@|@LZ@N@bA@TFP`@rAFZ?RIXs@rA[~@c@lCIJSFSAkCU_BQsE_@eDY_@@EpEpEZnJp@vBL@HPrAVnBPl@Rf@h@z@jBpB\\p@Xt@D,,1.0,3.92,"Av. Engenheiro Martins Romeo, 23 - Ingá, Niterói - RJ, 24210-400, Brasil","Av. Engenheiro Martins Romeo, 23 - Ingá, Niterói - RJ, 24210-400, Brasil",2.78,9.18,"Av. Engenheiro Martins Romeo, 23 - Ingá, Niterói - RJ, 24210-400, Brasil","Av. Alm. Benjamin Sodré, 45 - Ingá, Niterói - RJ, 24210-390, Brasil",0.19,0.43,"Av. Alm. Benjamin Sodré, 45 - Ingá, Niterói - RJ, 24210-390, Brasil","Av. Engenheiro Martins Romeo, 103 - Ingá, Niterói - RJ, 24210-400, Brasil",0.01,0.03,"Av. Engenheiro Martins Romeo, 103 - Ingá, Niterói - RJ, 24210-400, Brasil","Av. Engenheiro Martins Romeo, 103 - Ingá, Niterói - RJ, 24210-400, Brasil",0.11966215538847116
